"ISO3","ISO2","name","meantemp","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"AFG","AF","Afghanistan",13.1275,282.958,290.062,297.087,304.021,310.847,317.552,325.654,335.248,346.445,359.384,374.223,391.053,410.081,431.545,455.723,482.934,512.749,545.443,581.326,620.748,664.101,710.788,761.083,815.287,873.727,936.758,1004.18,1076.288,1153.396,1235.836,1323.963,1417.668,1517.248,1623.012,1735.283,1854.392,1980.22,2113.03,2253.086,2400.654,2556,2719.139,2890.287,3069.653,3257.436,3453.827,3658.818,3872.544,4095.123,4326.653,4567.215,4817.014,5076.111,5344.546,5622.334,5909.467,6206.524,6513.536,6830.511,7157.433,7494.261,7841.815,8200.123,8569.195,8949.016,9339.551,9741.17,10153.845,10577.524,11012.134,11457.574,11914.64,12383.29,12863.465,13355.081,13858.033,14373.441,14901.291,15441.552,15994.175,16559.089,17136.769,17727.165,18330.208,18945.81,19573.863,20222.737,20893.121,21585.728,22301.294
"AGO","AO","Angola",22.0548,1560.83,1603.696,1652.012,1706.185,1766.68,1834.026,1897.765,1957.332,2012.181,2061.793,2105.689,2151.492,2199.285,2249.156,2301.197,2355.505,2411.773,2470.08,2530.508,2593.144,2658.076,2727.196,2800.743,2878.974,2962.165,3050.615,3146.203,3249.424,3360.82,3480.99,3610.587,3749.883,3899.616,4060.592,4233.695,4419.893,4617.153,4826.218,5047.886,5283.017,5532.534,5794.466,6069.46,6358.196,6661.393,6979.807,7311.376,7656.532,8015.715,8389.375,8777.971,9179.686,9594.682,10023.103,10465.082,10920.732,11389.515,11871.428,12366.443,12874.506,13395.537,13929.51,14476.299,15035.75,15607.68,16191.876,16788.741,17398.071,18019.635,18653.169,19298.382,19956.534,20627.433,21310.861,22006.575,22714.307,23435.123,24168.829,24915.211,25674.029,26445.02,27228.269,28023.497,28830.406,29648.671,30477.944,31330.412,32206.724,33107.546,34033.564
"ALB","AL","Albania",13.419,2119.348,2158.637,2202.081,2249.897,2302.325,2359.629,2422.514,2491.337,2566.501,2648.449,2737.675,2833.828,2937.416,3048.996,3169.182,3298.643,3434.752,3577.891,3728.47,3886.923,4053.711,4225.061,4400.951,4581.346,4766.203,4955.469,5148.415,5344.889,5544.723,5747.738,5953.737,6161.951,6372.098,6583.881,6796.988,7011.093,7228.171,7448.081,7670.674,7895.793,8123.271,8354.296,8588.802,8826.711,9067.945,9312.417,9560.239,9811.329,10065.6,10322.957,10583.302,10844.604,11106.609,11369.059,11631.684,11894.211,12158.857,12425.501,12694.016,12964.272,13236.132,13512.159,13792.374,14076.8,14365.459,14658.371,14957.05,15261.605,15572.148,15888.792,16211.653,16541.3,16877.883,17221.55,17572.456,17930.759,18297.048,18671.516,19054.356,19445.771,19845.965,20255.903,20675.849,21106.072,21546.851,21998.473,22459.561,22930.313,23410.933,23901.626
"ARE","AE","United Arab Emirates",26.9187096774194,47664.018,48335.127,49045.653,49797.033,50590.797,51428.581,52350.49,53360.435,54462.755,55662.243,56964.183,58364.021,59867.361,61480.308,63209.503,65062.173,66965.112,68919.555,70926.769,72988.042,75104.696,77230.759,79363.564,81500.348,83638.266,85774.387,87888.554,89976.434,92033.656,94055.819,96038.516,97979.07,99873.201,101716.661,103505.247,105234.819,106951.41,108653.435,110339.301,112007.411,113656.16,115327.815,117022.672,118741.033,120483.202,122249.485,124031.883,125830.345,127644.819,129475.245,131321.562,133182.389,135057.597,136947.053,138850.617,140768.144,142686.532,144605.095,146523.137,148439.953,150354.828,152295.909,154263.572,156258.2,158280.181,160329.91,162410.671,164522.984,166667.377,168844.386,171054.559,173299.822,175580.794,177898.109,180252.413,182644.362,185081.934,187566.104,190097.871,192678.259,195308.318,197989.51,200722.953,203509.791,206351.194,209248.365,212186.212,215165.307,218186.228,221249.562
"ARG","AR","Argentina",17.3355555555556,5021.41,5196.628,5374.706,5555.521,5738.942,5924.827,6122.242,6331.929,6554.686,6791.376,7042.928,7309.137,7590.948,7889.379,8205.522,8540.553,8888.871,9250.986,9627.427,10018.744,10425.505,10838.104,11255.935,11678.348,12104.654,12534.127,12966.956,13402.438,13839.84,14278.397,14717.315,15159.835,15605.473,16053.725,16504.064,16955.945,17412.535,17873.549,18338.69,18807.647,19280.096,19758.088,20241.45,20729.997,21223.537,21721.866,22225.9,22735.495,23250.5,23770.753,24296.086,24825.838,25359.792,25897.724,26439.401,26984.582,27532.692,28083.456,28636.588,29191.794,29748.774,30313.108,30884.813,31463.904,32050.391,32644.284,33249.509,33866.288,34494.846,35135.415,35788.232,36453.535,37131.57,37822.589,38526.846,39244.601,39975.571,40719.996,41478.121,42250.194,43036.47,43834.625,44644.776,45467.044,46301.546,47148.401,48010.746,48888.862,49783.039,50693.571
"ARM","AM","Armenia",8.3705,1204.321,1250.762,1299.321,1350.107,1403.231,1458.812,1519.426,1585.506,1657.536,1736.053,1821.658,1914.089,2013.947,2121.894,2238.662,2365.057,2498.612,2639.733,2788.852,2946.422,3112.924,3283.936,3459.173,3638.317,3821.011,4006.865,4195.557,4386.639,4579.634,4774.03,4969.288,5165.763,5362.972,5560.404,5757.531,5953.806,6151.532,6350.411,6550.131,6750.369,6950.787,7154.834,7362.482,7573.697,7788.441,8006.673,8229.884,8458.148,8691.542,8930.142,9174.024,9418.805,9664.203,9909.925,10155.671,10401.134,10646.413,10891.217,11135.246,11378.194,11619.753,11865.651,12115.945,12370.695,12629.96,12893.799,13162.326,13435.602,13713.692,13996.66,14284.572,14579.205,14880.732,15189.329,15505.176,15828.459,16160.097,16500.331,16849.412,17207.597,17575.151,17948.342,18327.196,18711.737,19101.989,19497.973,19902.166,20314.738,20735.863,21165.717
"AUS","AU","Australia",16.5854838709677,27736.992,28230.599,28741.065,29268.981,29814.965,30379.66,30948.793,31522.212,32099.762,32681.281,33266.603,33879.241,34520.304,35190.964,35892.461,36626.103,37385.728,38172.324,38986.921,39830.598,40704.481,41589.234,42484.733,43390.848,44307.436,45234.348,46169.703,47113.228,48064.632,49023.618,49989.873,50952.578,51910.792,52863.563,53809.926,54748.91,55693.766,56644.236,57600.051,58560.935,59526.605,60514.032,61523.769,62556.384,63612.461,64692.601,65801.949,66941.376,68111.779,69314.088,70549.265,71813.367,73107.157,74431.42,75786.965,77174.624,78583.215,80012.958,81464.073,82936.781,84431.301,85947.35,87485.12,89044.805,90626.597,92230.687,93859.666,95513.848,97193.555,98899.108,100630.831,102393.481,104187.619,106013.82,107872.666,109764.753,111693.319,113659.122,115662.932,117705.539,119787.75,121910.389,124074.299,126280.34,128529.393,130822.357,133156.228,135531.735,137949.621,140410.642
"AUT","AT","Austria",7.89774193548387,30908.66,31442.391,31968.296,32485.671,32993.812,33492.019,34001.633,34522.946,35056.257,35601.872,36160.11,36743.661,37353.459,37990.485,38655.774,39350.419,40069.036,40812.477,41581.629,42377.418,43200.811,44038.561,44890.884,45757.996,46640.119,47537.475,48443.539,49358.153,50281.15,51212.357,52151.592,53091.364,54031.081,54970.141,55907.932,56843.83,57789.598,58745.207,59710.625,60685.819,61670.75,62673.887,63695.596,64736.255,65796.246,66875.963,67985.435,69125.551,70297.229,71501.42,72739.11,74007.535,75307.551,76640.043,78005.922,79406.128,80834.644,82292.093,83779.111,85296.351,86844.479,88414.628,90006.975,91621.7,93258.98,94918.99,96605.7,98319.485,100060.723,101829.797,103627.093,105454.039,107311.084,109198.686,111117.307,113067.416,115052.201,117072.288,119128.311,121220.919,123350.771,125523.471,127739.965,130001.218,132308.219,134661.982,137057.619,139495.874,141977.506,144503.286
"AZE","AZ","Azerbaijan",12.972,1430.769,1453.667,1478.755,1506.13,1535.9,1568.184,1600.655,1633.296,1666.089,1699.018,1732.063,1768.738,1809.239,1853.786,1902.626,1956.032,2009.495,2062.935,2116.274,2169.431,2222.322,2277.146,2333.984,2392.917,2454.032,2517.42,2583.391,2652.063,2723.557,2798.003,2875.536,2955.481,3037.921,3122.941,3210.627,3301.07,3394.966,3492.462,3593.716,3698.889,3808.155,3922.91,4043.453,4170.102,4303.195,4443.092,4590.158,4744.8,4907.452,5078.575,5258.661,5443.535,5633.253,5827.87,6027.44,6232.011,6438.465,6646.531,6855.923,7066.345,7277.488,7492.989,7712.863,7937.122,8165.775,8398.826,8637.722,8882.584,9133.535,9390.699,9654.202,9924.925,10203.061,10488.808,10782.369,11083.951,11392.13,11706.985,12028.6,12357.053,12692.423,13032.554,13377.344,13726.68,14080.444,14438.509,14805.681,15182.189,15568.272,15964.173
"BDI","BI","Burundi",20.5625806451613,179.805,185.326,191.748,199.149,207.621,217.274,228.401,241.176,255.805,272.529,291.633,313.436,338.329,366.775,399.323,436.62,478.212,524.656,576.587,634.73,699.916,771.12,848.821,933.53,1025.789,1126.173,1234.486,1351.14,1476.545,1611.105,1755.219,1909.029,2072.842,2246.94,2431.571,2626.948,2833.894,3052.688,3283.575,3526.763,3782.418,4051.869,4335.444,4633.436,4946.11,5273.69,5616.923,5976.058,6351.307,6742.839,7150.781,7575.466,8016.964,8475.294,8950.419,9442.245,9950.577,10475.192,11015.795,11572.027,12143.453,12730.832,13333.765,13951.785,14584.358,15230.883,15893.762,16572.648,17267.141,17976.786,18701.071,19442.755,20201.606,20977.348,21769.662,22578.187,23405.588,24251.746,25116.515,25999.712,26901.122,27820.28,28756.877,29710.57,30680.977,31667.677,32686.11,33737.295,34822.286,35942.171
